,Schedule No.,Constituency_x,2020 District,2011 District,Lok Ac,Turnout [4],Winner,Party,Margin,Party_abbrv
165,166,Thiruthuraipoondi,Thiruvarur,Thiruvarur,Nagapattinam,76.93,M. Selvarasu,Communist Party of India,209349,CPI
166,167,Mannargudi,Thiruvarur,Thiruvarur,Thanjavur,72.55,S S Palanimanickam,Dravida Munnetra Kazhagam,368129,DMK
167,168,Thiruvarur,Thiruvarur,Thiruvarur,Nagapattinam,76.93,M. Selvarasu,Communist Party of India,209349,CPI
168,169,Nannilam,Thiruvarur,Thiruvarur,Nagapattinam,76.93,M. Selvarasu,Communist Party of India,209349,CPI
169,170,Thiruvidaimarudur,Thanjavur,Thanjavur,Mayiladuthurai,73.93,S. Ramalingam,Dravida Munnetra Kazhagam,261314,DMK
170,171,Kumbakonam,Thanjavur,Thanjavur,Mayiladuthurai,73.93,S. Ramalingam,Dravida Munnetra Kazhagam,261314,DMK
171,172,Papanasam,Thanjavur,Thanjavur,Mayiladuthurai,73.93,S. Ramalingam,Dravida Munnetra Kazhagam,261314,DMK
172,173,Thiruvaiyaru,Thanjavur,Thanjavur,Thanjavur,72.55,S S Palanimanickam,Dravida Munnetra Kazhagam,368129,DMK
173,174,Thanjavur,Thanjavur,Thanjavur,Thanjavur,72.55,S S Palanimanickam,Dravida Munnetra Kazhagam,368129,DMK
174,175,Orathanadu,Thanjavur,Thanjavur,Thanjavur,72.55,S S Palanimanickam,Dravida Munnetra Kazhagam,368129,DMK
175,176,Pattukkottai,Thanjavur,Thanjavur,Thanjavur,72.55,S S Palanimanickam,Dravida Munnetra Kazhagam,368129,DMK
176,177,Peravurani,Thanjavur,Thanjavur,Thanjavur,72.55,S S Palanimanickam,Dravida Munnetra Kazhagam,368129,DMK
177,178,Gandharvakottai,Pudukkottai,Pudukkottai,Tiruchirappalli,69.5,Su. Thirunavukkarasar,Indian National Congress,459286,IND
178,179,Viralimalai,Pudukkottai,Pudukkottai,Karur,79.55,S.Jothimani,Indian National Congress,420546,IND
179,180,Pudukkottai,Pudukkottai,Pudukkottai,Tiruchirappalli,69.5,Su. Thirunavukkarasar,Indian National Congress,459286,IND
180,181,Thirumayam,Pudukkottai,Pudukkottai,Sivaganga,69.9,Karti P Chidambaram,Indian National Congress,332244,IND
181,182,Alangudi,Pudukkottai,Pudukkottai,Sivaganga,69.9,Karti P Chidambaram,Indian National Congress,332244,IND
182,183,Aranthangi,Pudukkottai,Pudukkottai,Ramanathapuram,68.4,Navaskani,Indian Union Muslim League,126237,IUML
183,184,Karaikudi,Sivaganga,Sivaganga,Sivaganga,69.9,Karti P Chidambaram,Indian National Congress,332244,IND
184,185,Tiruppattur,Sivaganga,Sivaganga,Sivaganga,69.9,Karti P Chidambaram,Indian National Congress,332244,IND
